Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-11-04,38734,39500,39500,38645,180,0.21,18.185,14.07,16.29,2019-11-06,"11,966.05","11,911.50","12,002.90","11,850.25",603.35M,0.41%,"40,469.78","40,311.85","40,606.91","40,037.53",37.68M,0.55%
2019-11-01,38652,38759,38800,38518,720,-0.49,18.12,13.98,16.24,2019-11-05,"11,917.20","11,974.60","11,978.95","11,861.90",631.95M,-0.20%,"40,248.23","40,445.67","40,466.55","40,053.55",45.38M,-0.13%
2019-10-31,38842,38300,38898,38300,2300,1.23,18.055,13.93,16.19,2019-11-04,"11,941.30","11,928.90","11,989.15","11,905.35",823.05M,0.43%,"40,301.96","40,293.85","40,483.21","40,186.29",62.56M,0.34%
2019-10-30,38369,38194,38384,38078,6370,0.68,17.955,13.92,16.15,2019-11-01,"11,890.60","11,886.60","11,918.30","11,843.35",855.34M,0.11%,"40,165.03","40,196.07","40,283.30","40,014.23",56.98M,0.09%
2019-10-29,38110,38063,38194,37988,11170,0.02,17.66,13.74,15.93,2019-10-31,"11,877.45","11,890.45","11,945.00","11,855.10",1.41B,0.28%,"40,129.05","40,211.99","40,392.22","40,054.89",87.85M,0.19%
2019-10-28,38103,38388,38388,38070,7520,-0.46,18.055,14.06,16.27,2019-10-30,"11,844.10","11,883.90","11,883.95","11,784.45",725.22M,0.49%,"40,051.87","40,055.63","40,178.12","39,805.11",37.24M,0.55%
2019-10-25,38362,38450,38690,38325,19570,-0.23,18.125,14.12,16.31,2019-10-29,"11,786.85","11,643.95","11,809.40","11,627.35",951.72M,1.37%,"39,831.84","39,293.49","39,917.01","39,254.12",50.52M,1.98%
2019-10-24,38452,38175,38475,38109,14660,0.86,17.53,13.6,15.75,2019-10-25,"11,583.90","11,646.15","11,646.90","11,490.75",812.03M,0.01%,"39,058.06","39,201.67","39,241.61","38,718.27",48.57M,0.10%
2019-10-23,38124,38090,38249,38090,12600,0.26,17.535,13.64,15.79,2019-10-24,"11,582.60","11,661.65","11,679.60","11,534.65",700.48M,-0.19%,"39,020.39","39,223.01","39,327.15","38,840.76",36.63M,-0.10%
2019-10-22,38025,37901,38060,37900,13840,0.15,17.625,13.61,15.82,2019-10-23,"11,604.10","11,596.20","11,651.60","11,554.40",664.16M,0.14%,"39,058.83","39,063.84","39,196.67","38,866.08",41.00M,0.24%
